,Unnamed: 0,Worker_id,accuracy,round,Number Of Epoch,Each Epoch Accuracy in list ,time  ,total_time
0,0,0,tensor(0.9345),0,3,"[42.23257211538461, 78.25020032051282, 83.74399038461539]","[23.16920018196106, 21.31019878387451, 21.172462701797485]",217.17670917510983
1,1,1,tensor(0.9354),0,3,"[42.23758012820513, 77.51903044871794, 83.75400641025641]","[21.82630157470703, 21.853805780410767, 21.71156907081604]",217.17670917510983
2,2,2,tensor(0.9486),0,3,"[40.65504807692308, 78.05488782051282, 83.69891826923077]","[22.054245471954346, 21.911919832229614, 21.254287719726562]",217.17670917510983
3,3,0,tensor(0.9543),1,3,"[86.62860576923077, 87.8104967948718, 89.20272435897436]","[22.300090074539185, 22.031234741210938, 22.228171825408936]",216.9878647327423
4,4,1,tensor(0.9588),1,3,"[85.97255608974359, 87.7754407051282, 89.15765224358974]","[21.793736934661865, 21.75253129005432, 22.072964906692505]",216.9878647327423
5,5,2,tensor(0.9570),1,3,"[86.31810897435898, 88.18108974358974, 89.16766826923077]","[21.637759923934937, 21.39236330986023, 21.706766366958618]",216.9878647327423
6,6,0,tensor(0.9706),2,3,"[89.7235576923077, 90.5098157051282, 90.95552884615384]","[22.091360569000244, 21.493186712265015, 21.974249601364136]",216.60149669647217
7,7,1,tensor(0.9684),2,3,"[90.12419871794872, 89.9188701923077, 90.92047275641026]","[22.073511362075806, 21.177303791046143, 21.041197299957275]",216.60149669647217
8,8,2,tensor(0.9748),2,3,"[89.6885016025641, 90.46474358974359, 91.23096955128206]","[21.7615487575531, 22.26930332183838, 21.46960973739624]",216.60149669647217
9,9,0,tensor(0.9703),3,3,"[91.38120993589743, 91.5614983974359, 92.48297275641026]","[22.633156299591064, 21.295894145965576, 21.44812297821045]",216.88027906417847
10,10,1,tensor(0.9715),3,3,"[91.34114583333333, 91.8770032051282, 92.39282852564102]","[21.298598289489746, 21.909003496170044, 21.518853902816772]",216.88027906417847
11,11,2,tensor(0.9745),3,3,"[91.51642628205128, 91.9921875, 92.06229967948718]","[21.705387830734253, 21.88488245010376, 21.962148189544678]",216.88027906417847
12,12,0,tensor(0.9730),4,3,"[92.8485576923077, 92.8535657051282, 92.91366185897436]","[22.12336492538452, 21.85710382461548, 22.237590074539185]",215.47948026657104
13,13,1,tensor(0.9772),4,3,"[92.36278044871794, 92.98878205128206, 92.90865384615384]","[21.913984537124634, 20.880975008010864, 21.316413640975952]",215.47948026657104
14,14,2,tensor(0.9757),4,3,"[92.39783653846153, 92.73838141025641, 93.03886217948718]","[21.545878887176514, 21.730867624282837, 21.370047092437744]",215.47948026657104
15,15,0,tensor(0.9802),5,3,"[93.26422275641026, 93.10897435897436, 93.64983974358974]","[21.462920665740967, 21.228073835372925, 21.723976612091064]",216.38032698631287
16,16,1,tensor(0.9754),5,3,"[93.13401442307692, 93.42948717948718, 93.33433493589743]","[22.42655897140503, 22.026771068572998, 21.52667737007141]",216.38032698631287
17,17,2,tensor(0.9817),5,3,"[93.20913461538461, 93.42447916666667, 93.26422275641026]","[21.49642586708069, 21.737069606781006, 21.765502214431763]",216.38032698631287
18,18,0,tensor(0.9796),6,3,"[93.73497596153847, 93.96534455128206, 93.6698717948718]","[22.05612349510193, 21.361194849014282, 22.091065883636475]",216.38409209251404
19,19,1,tensor(0.9778),6,3,"[93.41947115384616, 94.04547275641026, 93.99038461538461]","[21.547858238220215, 21.539830446243286, 21.260671377182007]",216.38409209251404
20,20,2,tensor(0.9781),6,3,"[93.78004807692308, 93.6698717948718, 93.91025641025641]","[21.67124605178833, 21.84548568725586, 22.290570974349976]",216.38409209251404
21,21,0,tensor(0.9805),7,3,"[93.73998397435898, 94.09555288461539, 94.38100961538461]","[22.00210928916931, 22.170349597930908, 22.184875011444092]",217.9904217720032
22,22,1,tensor(0.9796),7,3,"[94.35596955128206, 94.27083333333333, 94.18569711538461]","[21.995178699493408, 22.015800952911377, 21.791332006454468]",217.9904217720032
23,23,2,tensor(0.9814),7,3,"[94.28084935897436, 94.30588942307692, 94.17568108974359]","[21.701667547225952, 21.426433324813843, 21.716375589370728]",217.9904217720032
24,24,0,tensor(0.9805),8,3,"[94.47616185897436, 94.42608173076923, 94.17568108974359]","[22.82674741744995, 22.632745265960693, 22.59008479118347]",223.4970715045929
25,25,1,tensor(0.9787),8,3,"[94.32091346153847, 94.4110576923077, 94.53125]","[22.149847984313965, 21.925190210342407, 22.42301917076111]",223.4970715045929
26,26,2,tensor(0.9829),8,3,"[94.2207532051282, 94.48116987179488, 94.56129807692308]","[22.733209133148193, 21.941708087921143, 22.82822012901306]",223.4970715045929
27,27,0,tensor(0.9793),9,3,"[94.57632211538461, 94.8016826923077, 94.73657852564102]","[22.057746171951294, 22.18572688102722, 21.135592937469482]",217.7754497528076
28,28,1,tensor(0.9826),9,3,"[94.92688301282051, 94.8066907051282, 94.94190705128206]","[21.674080848693848, 21.962278604507446, 21.839695930480957]",217.7754497528076
29,29,2,tensor(0.9802),9,3,"[94.50620993589743, 94.30088141025641, 94.43609775641026]","[21.931653261184692, 21.999605178833008, 22.392777919769287]",217.7754497528076
